MQSensor,PropName,PropValue,T,RH,ppm_ref,RH0_ref,T0_ref,comment
MQ3,RL_hyp,1.69,-5,0,,33,20,hypothetical value for obtaining value < 33 RH
MQ3,RL_hyp,1.47,0,0,,33,20,hypothetical value for obtaining value < 33 RH
MQ3,RL_hyp,1.35,5,0,,33,20,hypothetical value for obtaining value < 33 RH
MQ3,RL_hyp,1.22,13,0,,33,20,hypothetical value for obtaining value < 33 RH
MQ3,RL_hyp,1.1,20,0,,33,20,hypothetical value for obtaining value < 33 RH
MQ3,RL_hyp,0.96,30,0,,33,20,hypothetical value for obtaining value < 33 RH
MQ3,RL_hyp,0.93,40,0,,33,20,hypothetical value for obtaining value < 33 RH
MQ3,RL_hyp,0.9,50,0,,33,20,hypothetical value for obtaining value < 33 RH
MQ3,RL_hyp,1.12,-10,137,,33,20,hypothetical value for obtaining value > 65
MQ3,RL_hyp,1.15,-5,137,,33,20,hypothetical value for obtaining value > 65
MQ3,RL_hyp,0.93,0,137,,33,20,hypothetical value for obtaining value > 65
MQ3,RL_hyp,0.87,5,137,,33,20,hypothetical value for obtaining value > 65
MQ3,RL_hyp,0.84,10,137,,33,20,hypothetical value for obtaining value > 65
MQ3,RL_hyp,0.79,20,137,,33,20,hypothetical value for obtaining value > 65
MQ3,RL_hyp,0.76,30,137,,33,20,hypothetical value for obtaining value > 65
MQ3,RL_hyp,0.72,40,137,,33,20,hypothetical value for obtaining value > 65
MQ3,RL_hyp,0.7,50,137,,33,20,hypothetical value for obtaining value > 65
MQ135,RL_hyp,1.8,-10,0,100,33,20,hypothetical value for obtaining value < 33 RH
MQ135,RL_hyp,1.24,4,0,100,33,20,hypothetical value for obtaining value < 33 RH
MQ135,RL_hyp,1.02,20,0,100,33,20,hypothetical value for obtaining value < 33 RH
MQ135,RL_hyp,0.95,50,0,100,33,20,hypothetical value for obtaining value < 33 RH
MQ135,RL_hyp,1.4,-10,137,100,33,20,hypothetical value for obtaining value > 65
MQ135,RL_hyp,1.05,4,137,100,33,20,hypothetical value for obtaining value > 65
MQ135,RL_hyp,0.84,20,137,100,33,20,hypothetical value for obtaining value > 65
MQ135,RL_hyp,0.72,50,137,100,33,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,1.91,-10,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.87,-5,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.82,0,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.71,5,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.62,10,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.52,15,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.48,20,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.39,25,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.38,30,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.31,35,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.17,40,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.11,45,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,1.01,50,0,1000,65,20,hypothetical value for obtaining value < 33 RH
MQ2,RL_hyp,0.85,-10,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.78,-5,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.76,0,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.7,5,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.67,10,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.66,15,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.61,20,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.59,25,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.58,30,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.55,35,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.49,40,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.45,45,137,1000,65,20,hypothetical value for obtaining value > 65
MQ2,RL_hyp,0.4,50,137,1000,65,20,hypothetical value for obtaining value > 65
MQ4,ppm_med,1.5,,,,,initial concentration for the sensor 
MQ7,ppm_med,10,,,,,initial concentration for the sensor 
MQ5,ppm_med,200,,,,,initial concentration for the sensor 
MQ3,ppm_med,300,,,,,initial concentration for the sensor 
MQ135,ppm_med,10,,,,,initial concentration for the sensor 
MQ2,ppm_med,100,,,,,initial concentration for the sensor 
